satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0.45,0.49,2,149,3,0,1,0,product_mng,91832
0.09,0.85,6,289,4,0,1,0,hr,112485
0.44,0.51,2,156,3,0,1,0,technical,96415
0.45,0.53,2,129,3,0,1,0,technical,90442
0.37,0.46,2,149,3,0,1,0,marketing,102423
0.1,0.86,6,278,4,0,1,0,technical,117560
0.36,0.48,2,156,3,0,1,0,accounting,118056
0.4,0.46,2,143,3,0,1,0,technical,119358
0.8,0.53,3,255,5,0,1,0,technical,101663
0.66,0.57,5,161,5,0,1,0,technical,90527
0.45,0.54,2,129,3,0,1,0,marketing,112264
0.39,0.55,2,159,3,0,1,0,technical,101300
0.45,0.57,2,148,3,0,1,0,marketing,115745
0.43,0.55,2,130,3,0,1,0,support,91139
0.1,0.81,7,291,4,0,1,0,sales,108481
0.83,0.99,5,258,5,0,1,0,support,114775
0.38,0.5,2,152,3,0,1,0,sales,93009
0.15,0.55,6,139,4,0,1,0,support,104029
0.82,0.89,5,217,5,0,1,0,sales,100864
0.75,0.86,5,237,5,0,1,0,support,106015
0.32,0.58,5,271,5,0,1,0,sales,101260
0.41,0.48,2,130,3,0,1,0,support,96780
0.87,0.9,4,256,5,0,1,0,sales,95056
0.37,0.49,2,151,3,0,1,0,technical,107585
0.9,0.86,5,254,5,0,1,0,sales,116984
0.39,0.57,2,158,3,0,1,0,technical,108408
0.11,0.93,7,288,4,0,1,0,sales,97484
0.42,0.97,6,259,4,0,1,0,management,99905
0.1,0.85,6,297,5,0,1,0,sales,109407
0.75,0.88,5,270,5,0,1,0,IT,118292
0.1,0.86,6,306,4,0,1,0,sales,119088
0.46,0.46,2,145,3,0,1,0,IT,98171
0.39,0.55,2,156,3,0,1,0,sales,106229
0.4,0.53,2,155,3,0,1,0,IT,102215
0.79,0.95,5,228,5,0,1,0,sales,118672
0.72,0.99,5,257,5,0,1,0,IT,103650
0.9,0.83,4,266,5,0,1,0,sales,100378
0.1,0.87,6,307,4,0,1,0,product_mng,109131
0.42,0.5,2,128,3,0,1,0,accounting,109923
0.42,0.54,2,143,3,0,1,0,product_mng,107180
0.11,0.97,6,254,4,0,1,0,accounting,108168
0.09,0.91,6,243,4,0,1,0,product_mng,112410
0.42,0.48,2,146,3,0,1,0,hr,106874
0.1,0.95,5,286,4,0,1,0,RandD,107864
0.45,0.46,2,159,3,0,1,0,hr,95458
0.43,0.49,2,131,3,0,1,0,RandD,108988
0.76,0.89,5,238,5,0,1,0,technical,92397
0.43,0.48,2,136,3,0,1,0,RandD,90340
0.75,0.7,4,144,4,0,0,0,technical,92672
0.82,0.65,4,148,3,0,0,0,sales,96050
0.56,0.94,4,215,2,0,0,0,technical,91565
0.71,0.76,5,172,2,1,0,0,support,105789
0.21,0.82,4,207,5,0,0,0,technical,102596
0.56,0.97,5,163,2,0,0,0,management,105812
0.95,0.69,3,225,2,0,0,0,technical,107383
1,0.86,4,161,2,0,0,0,marketing,94887
0.79,0.5,5,176,3,0,0,0,support,99218
0.38,0.69,3,99,3,1,0,0,sales,112652
0.67,0.5,4,173,2,1,0,0,support,112271
0.77,0.71,4,223,3,0,0,0,sales,98671
0.69,0.64,5,265,2,1,0,0,support,109412
0.71,0.63,3,254,3,1,0,0,sales,94807
0.21,0.9,4,271,6,0,0,0,support,111239
0.5,0.65,5,242,3,0,0,0,sales,100354
0.78,0.89,3,253,3,0,0,0,support,115972
0.63,0.5,3,140,2,0,0,0,sales,114169
0.68,0.48,4,251,4,0,0,0,support,100679
0.84,0.99,2,184,2,0,0,0,sales,113650
0.8,0.85,5,242,3,0,0,0,support,104964
0.13,0.69,4,127,4,0,0,0,sales,118313
0.65,0.84,3,154,3,0,0,0,support,98876
0.5,0.79,3,186,3,0,0,0,sales,102778
0.38,0.77,2,170,3,0,0,0,technical,106658
0.72,0.47,5,168,6,0,0,0,sales,92414
0.71,0.77,3,145,3,0,0,0,technical,98346
0.46,0.57,4,275,3,0,0,0,sales,108140
0.3,0.64,2,137,3,0,0,0,management,104782
0.21,0.44,4,163,6,0,0,0,sales,110712
0.49,0.76,5,237,3,0,0,0,IT,119655
0.49,0.58,5,186,2,0,0,0,IT,117164
0.57,0.65,5,177,2,0,0,0,IT,107231
0.89,0.81,4,228,4,0,0,0,IT,90346
0.66,0.59,3,204,3,0,0,0,product_mng,110950
0.94,0.77,5,210,3,0,0,0,product_mng,105947
0.98,0.95,4,250,2,1,0,0,product_mng,118996
0.18,0.52,5,185,6,0,0,0,product_mng,114937
0.57,0.73,3,146,3,0,0,0,IT,111116
0.67,0.55,3,217,2,0,0,0,RandD,118166
0.12,0.61,6,172,6,0,0,0,RandD,109642
0.48,0.95,3,184,2,0,0,0,RandD,104922
0.97,0.97,5,171,2,0,0,0,sales,117329
0.9,0.96,3,223,4,0,0,0,sales,107537
0.57,0.87,4,148,3,0,0,0,sales,114564
0.84,0.79,6,140,2,0,0,0,accounting,107960
0.84,0.74,4,226,2,0,0,0,accounting,110175
0.17,0.93,5,183,5,0,0,0,accounting,100923
0.97,0.86,5,135,3,0,0,0,hr,111523
0.94,0.66,3,236,2,0,0,0,hr,99766
0.92,0.53,2,249,2,0,0,0,IT,112355
0.96,0.67,5,170,3,0,0,0,marketing,109044
0.21,0.57,5,239,3,0,0,0,sales,100406
